Id,Wohngebiet,Nachbarschaft,Bedingung1,Bedingung2,Wohnungsklasse,Gebauedetyp,Wohnungsstil,Baujahr,Umbaujahr,Hausqualitaet,Hauszustand,Versorgung,Grundstuecksgroesse,Grundstuecksform,Gelaendekontur,Gelaendeneigung,Grundstueckanordnung,Strassenlaenge,Strassentyp,Fundament,Mauerwerktyp,Mauerwerkflaeche,Verkleidung1,Verkleidung2,Dachtyp,Dachmeterial,Aussenmaterialqualitaet,Aussenmaterialzustand,Kellerhoehe,Kellerzustand,Kellerbelichtung,Kellerbereich1,Kellerbereichgroesse1,Kellerbereich2,Kellerbereichgroesse2,KellerbereichgroesseNAu,KellerbereichgroesseGes,KellerVollbadezimmer,KellerHalbbadezimmer,OberirdischeWohnflaeche,1Stockflaeche,2Stockflaeche,GeringequalitaetFlaeche,OberirdischeRaueme,Funktionalitaet,OberirdischeVollbadezimmer,OberirdischeHalbbadezimmer,Schlafzimmer,Kuechen,KuechenQualitaet,Kamine,Kaminqualitaet,Heizung,Heizungsqualitaet,Klimalanlage,Elektrik,Holzdeckflaeche,OffeneVerandaflaeche,GeschlosseneVerandaflaeche,3JahreszeitenVerandaflaeche,AbgeschirmteVerandaflaeche,Poolflaeche,Poolqualitaet,Zaunqualitaet,Garagentyp,Garagenbaujahr,Garageninnenausbau,Garagenautos,Garagenflaeche,Garagenqualitaet,Garagenzustand,EinfahrtGepflastert,Sondermerkmal,SondermerkmalWert,Verkaufsmonat,Verkaufsjahr,Verkaufstyp,Verkaufsbedingung,Verkaufspreis
381,WN,Höchst,Norm,Norm,20,1Fam,1Sto,1976,1976,5,5,EGWA,864.0,Reg,Ebn,San,Inn,24.0,Pfla,BetonSte,ZiegGla,15.48,Vinyl,Vinyl,Walm,VerbSch,Du,Du,Ty,Ty,Ke,DAR,62.82,NAu,0.0,48.06,110.88,1.0,0.0,110.88,110.88,0.0,0.0,6,Typ,1,1,3,1,Du,0,KeineKamine,GasWO,Du,J,SLSRo,0.0,20.16,0.0,0.0,0.0,0.0,KeinPool,KeinZaun,Verbund,1976.0,GAu,2.0,44.1,Du,Du,J,Keine,0.0,4,2020,GarK,Normal,120912.5
382,WM,Bornhei,Norm,Norm,50,1Fam,1.5V,1944,1960,6,6,EGWA,561.6,Reg,Ebn,San,Inn,15.6,Pfla,BetonGeg,Kein,0.0,Holz,Holz,Giebel,VerbSch,Du,Du,Ty,Ty,Ke,NAu,0.0,NAu,0.0,73.44,73.44,0.0,0.0,105.84,73.44,0.0,32.4,6,Typ,1,0,3,1,Du,1,Gu,GasWO,Du,J,SLSRo,10.08,0.0,0.0,0.0,0.0,0.0,KeinPool,MnPrv,Abgetr,1995.0,NAu,2.0,47.52,Du,Du,J,Schu,340.0,9,2016,GarK,Normal,97325.0
383,WN,Höchst,Norm,Norm,20,1Fam,1Sto,1974,1974,6,5,EGWA,915.75,UR1,Ebn,San,Inn,30.0,Pfla,BetonSte,ZiegGla,24.48,Hartfas,Sperrho,Giebel,VerbSch,Du,Du,Ty,Ty,Ke,UWR,44.1,NAu,0.0,84.15,128.25,0.0,0.0,128.25,128.25,0.0,0.0,7,Typ,2,0,3,1,Du,1,Gu,GasWO,Gu,J,SLSRo,0.0,0.0,0.0,36.63,0.0,0.0,KeinPool,KeinZaun,Verbund,1974.0,GAu,2.0,51.84,Du,Du,J,Keine,0.0,7,2018,GarK,Normal,153425.0
384,WN,Gallus,Norm,Norm,190,2FamU,1Sto,1960,1960,5,5,EGWA,979.2,Reg,Ebn,San,Inn,20.4,Pfla,BetonSte,Kein,0.0,Metall,Metall,Giebel,VerbSch,Du,Du,Ty,Ty,Ke,DWR,93.6,NAu,0.0,11.16,104.76,1.0,0.0,104.76,104.76,0.0,0.0,5,Typ,1,0,3,1,Du,0,KeineKamine,GasWD,Du,N,SLSRo,0.0,4.32,0.0,0.0,0.0,0.0,KeinPool,KeinZaun,Abgetr,1960.0,NAu,1.0,21.6,Du,Du,J,Keine,0.0,8,2018,VerA,Normal,106250.0
385,WM,Eisenba,Norm,Norm,50,1Fam,1.5V,1949,1960,4,5,EGWA,545.4,Reg,Ebn,San,Inn,15.0,Pfla,BetonGeg,Kein,0.0,AsbeSch,AsbeSch,Giebel,VerbSch,Du,Du,Ty,Ty,Ke,NAu,0.0,NAu,0.0,65.88,65.88,0.0,0.0,101.07,69.48,31.59,0.0,4,Typ,1,0,3,1,Du,0,KeineKamine,GasWO,Gu,J,SLSRo,0.0,0.0,12.6,0.0,0.0,0.0,KeinPool,MnPrv,Abgetr,1989.0,NAu,1.0,23.76,Du,Du,P,Keine,0.0,6,2017,GarK,Normal,85000.0
386,WN,Kalbach,Norm,Norm,60,1Fam,2Sto,2008,2008,8,5,EGWA,1088.1,Reg,Ebn,San,Eck,27.9,Pfla,BetonGeg,ZiegGla,58.5,Vinyl,Vinyl,Walm,VerbSch,Gu,Du,Gu,Ty,Ke,NAu,0.0,NAu,0.0,102.69,102.69,0.0,0.0,203.67,104.85,98.82,0.0,10,Typ,2,1,4,1,Gu,1,Du,GasWO,Gu,J,SLSRo,12.96,11.07,0.0,0.0,0.0,0.0,KeinPool,KeinZaun,Eingeb,2008.0,Aus,2.0,37.8,Du,Du,J,Keine,0.0,7,2016,GarK,Abnormal,219300.0
387,WN,Nordend,EbNA,Norm,60,1Fam,2Sto,1985,1985,6,6,EGWA,1032.75,Reg,Ebn,San,Inn,25.5,Pfla,BetonSte,Kein,0.0,Vinyl,Vinyl,Giebel,VerbSch,Du,Du,Gu,Ty,Ke,DWR,49.5,NAu,0.0,14.67,64.17,1.0,0.0,139.68,72.99,66.69,0.0,6,Typ,2,1,3,1,Du,1,Du,GasWO,Du,J,SLSRo,18.81,18.72,0.0,0.0,0.0,0.0,KeinPool,MnPrv,Verbund,1985.0,GAu,2.0,39.06,Du,Du,J,Keine,0.0,2,2016,GarK,Normal,152915.0
388,D,Schwanh,Norm,Norm,160,StHAb,2Sto,2009,2009,8,5,EGWA,238.05,Reg,Ebn,San,Inn,7.2,Pfla,BetonGeg,ZiegGla,41.94,Metall,Metall,Giebel,VerbSch,Gu,Du,Gu,Ty,Ke,GWR,55.08,NAu,0.0,31.32,86.4,1.0,0.0,142.74,86.58,56.16,0.0,7,Typ,2,1,3,1,Gu,0,KeineKamine,GasWO,Ag,J,SLSRo,15.21,0.0,0.0,0.0,0.0,0.0,KeinPool,KeinZaun,Abgetr,2009.0,NAu,2.0,43.2,Du,Du,J,Keine,0.0,12,2018,GarK,Normal,144500.0
389,WM,Altstad,Norm,Norm,75,1Fam,2.5V,1922,1960,6,6,EGWA,496.8,Reg,Ebn,San,Eck,27.6,Pfla,BetonSte,Kein,0.0,Holz,Holz,Giebel,VerbSch,Du,Du,Ty,Ty,Ke,NAu,0.0,NAu,0.0,67.95,67.95,0.0,0.0,200.61,83.61,83.61,33.39,8,Typ,1,0,5,1,Du,0,KeineKamine,GasWO,Ag,J,SLSRo,0.0,17.82,2.7,0.0,0.0,0.0,KeinPool,MnPrv,KeineGarage,0.0,KeineGarage,0.0,0.0,KeineGarage,KeineGarage,J,Keine,0.0,7,2019,GarK,Abnormal,88400.0
390,WN,Nied,Norm,Norm,20,1Fam,1Sto,2016,2016,10,5,EGWA,1250.19,Reg,Ebn,San,Inn,32.1,Pfla,BetonGeg,Unbekannt,-1.0,Vinyl,Vinyl,Giebel,VerbSch,Ag,Du,Ag,Gu,Gu,GWR,124.74,NAu,0.0,62.1,186.84,1.0,0.0,186.84,186.84,0.0,0.0,7,Typ,2,1,2,1,Ag,1,Gu,GasWO,Ag,J,SLSRo,19.44,20.61,0.0,0.0,0.0,0.0,KeinPool,KeinZaun,Verbund,2016.0,Aus,3.0,76.5,Du,Du,J,Keine,0.0,9,2016,Neu,Unfertig,395250.0
391,WM,Altstad,Norm,Norm,70,1Fam,2Sto,1910,2013,8,9,EGWA,864.0,Reg,Ebn,San,Eck,18.0,Pfla,ZiegFli,Kein,0.0,Holz,Holz,Giebel,VerbSch,Gu,Gu,Ty,Ty,Ke,NAu,0.0,NAu,0.0,83.7,83.7,0.0,0.0,140.94,83.7,57.24,0.0,7,Typ,2,0,3,1,Gu,0,KeineKamine,GasWD,Du,N,SLSRo,4.86,20.52,22.14,0.0,0.0,0.0,KeinPool,KeinZaun,Abgetr,1940.0,NAu,1.0,25.92,Du,Du,J,Keine,0.0,4,2020,GarK,Abnormal,127500.0
392,WN,Gallus,Haup,Norm,50,1Fam,1.5V,1958,1960,5,3,EGWA,682.65,Reg,Ebn,San,Inn,15.0,Pfla,BetonSte,Kein,0.0,Metall,Metall,Giebel,VerbSch,Du,Du,Ar,Ar,Mn,NAu,0.0,NAu,0.0,72.9,72.9,1.0,1.0,131.04,90.18,40.86,0.0,7,Typ,1,0,4,1,Du,1,Du,GasWO,Ar,J,SichDu,0.0,0.0,0.0,0.0,0.0,0.0,KeinPool,KeinZaun,Abgetr,1964.0,NAu,1.0,25.2,Du,Du,P,Keine,0.0,8,2016,GarK,Normal,77775.0
393,WN,Sachsen,EbOA,Norm,20,1Fam,1Sto,1973,1973,5,5,EGWA,819.0,Reg,Ebn,San,Inn,21.0,Pfla,BetonGeg,Kein,0.0,Holz,Holz,Walm,VerbSch,Du,Du,Ty,Gu,Ke,UWR,4.77,DWR,71.91,11.88,88.56,1.0,0.0,88.56,88.56,0.0,0.0,5,Typ,1,0,3,1,Du,1,Du,GasWO,Du,J,SLSRo,13.05,5.04,0.0,0.0,0.0,0.0,KeinPool,MnPrv,Verbund,1973.0,GAu,1.0,34.56,Du,Du,J,Schu,340.0,8,2018,GarK,Normal,108800.0
394,WN,Hausen,Norm,Norm,60,1Fam,2Sto,2006,2007,7,5,EGWA,994.5,Reg,Ebn,San,Inn,20.684476534296028,Pfla,BetonGeg,Kein,0.0,Vinyl,Vinyl,Giebel,VerbSch,Du,Du,Gu,Ty,Mn,NAu,0.0,NAu,0.0,81.9,81.9,0.0,0.0,163.8,81.9,81.9,0.0,8,Typ,2,1,3,1,Gu,1,Du,GasWO,Ag,J,SLSRo,28.62,2.88,0.0,0.0,0.0,0.0,KeinPool,KeinZaun,Verbund,2006.0,NAu,3.0,73.44,Du,Du,J,Keine,0.0,9,2018,GarK,Normal,181050.0
395,WN,Hochsch,Norm,Norm,60,1Fam,2Sto,2012,2012,7,5,EGWA,785.34,Reg,Ebn,San,Inn,21.0,Pfla,BetonGeg,Kein,0.0,Vinyl,Vinyl,Giebel,VerbSch,Gu,Du,Gu,Ty,Ke,NAu,0.0,NAu,0.0,78.48,78.48,0.0,0.0,171.81,78.48,93.33,0.0,8,Typ,2,1,4,1,Gu,0,KeineKamine,GasWO,Ag,J,SLSRo,0.0,9.72,0.0,0.0,0.0,0.0,KeinPool,KeinZaun,Eingeb,2012.0,GAu,2.0,47.61,Du,Du,J,Keine,0.0,9,2016,GarK,Normal,167450.0
396,WN,Höchst,Norm,Norm,20,1Fam,1Sto,1969,1969,5,5,EGWA,965.25,UR1,Ebn,San,Inn,26.1,Pfla,BetonSte,ZiegGla,8.19,Metall,Metall,Walm,VerbSch,Du,Du,Ty,Ty,Ke,DAR,84.24,NAu,0.0,24.3,108.54,0.0,0.0,108.54,108.54,0.0,0.0,6,Typ,1,0,3,1,Du,0,KeineKamine,GasWO,Ar,J,SLSRo,0.0,1.89,0.0,0.0,0.0,0.0,KeinPool,KeinZaun,Verbund,1969.0,GAu,1.0,28.08,Du,Du,J,Keine,0.0,5,2020,GarK,Normal,92257.3
397,WM,Hochsch,Norm,Norm,120,StHAb,1Sto,2013,2014,6,5,EGWA,399.15,Reg,Ebn,San,Inn,20.684476534296028,Pfla,BetonGeg,ZiegGla,15.3,Vinyl,Vinyl,Giebel,VerbSch,Gu,Du,Gu,Ty,Du,GWR,61.65,NAu,0.0,14.67,76.32,1.0,0.0,76.32,76.32,0.0,0.0,4,Typ,1,0,1,1,Gu,0,KeineKamine,GasWO,Ag,J,SLSRo,12.6,0.0,0.0,0.0,0.0,0.0,KeinPool,KeinZaun,Verbund,2013.0,Aus,2.0,37.8,Du,Du,J,Keine,0.0,6,2019,GarK,Normal,122400.0
398,WN,Sossenh,PosA,PosA,20,1Fam,1Sto,2016,2017,10,5,EGWA,1136.97,UR1,Hng,San,Inn,25.5,Pfla,BetonGeg,ZiegGla,21.78,Metall,Metall,Walm,VerbSch,Ag,Du,Ag,Ty,Gu,NAu,0.0,NAu,0.0,164.16,164.16,0.0,0.0,164.16,164.16,0.0,0.0,8,Typ,2,0,3,1,Ag,1,Gu,GasWO,Ag,J,SLSRo,14.4,3.24,0.0,0.0,9.72,0.0,KeinPool,KeinZaun,Verbund,2016.0,Aus,3.0,83.88,Du,Du,J,Keine,0.0,9,2017,Neu,Unfertig,333200.0
399,WN,Ginnhei,Norm,Norm,60,1Fam,2Sto,2005,2006,6,5,EGWA,720.0,Reg,Ebn,San,Inn,20.684476534296028,Pfla,BetonGeg,Kein,0.0,Hartfas,Hartfas,Giebel,VerbSch,Du,Du,Gu,Ty,Ke,GWR,19.71,NAu,0.0,49.86,69.57,1.0,0.0,149.22,69.57,79.65,0.0,8,Typ,2,1,3,1,Du,1,Du,GasWO,Gu,J,SLSRo,20.16,7.56,0.0,0.0,0.0,0.0,KeinPool,KeinZaun,Verbund,2005.0,Aus,2.0,38.79,Du,Du,J,Keine,0.0,6,2018,GarK,Normal,159800.0
400,WN,Sachsen,Norm,Norm,20,1Fam,1Sto,1987,1987,6,5,EGWA,737.73,Reg,Ebn,San,Inn,21.3,Pfla,BetonSte,ZiegGla,13.32,Sperrho,Sperrho,Giebel,VerbSch,Du,Du,Ty,Ty,Ke,NAu,0.0,NAu,0.0,59.4,59.4,0.0,0.0,115.65,115.65,0.0,0.0,7,Typ,1,1,3,1,Du,1,Du,GasWO,Ag,J,SLSRo,12.42,0.0,0.0,0.0,0.0,0.0,KeinPool,MnPrv,Verbund,1987.0,GAu,2.0,47.52,Du,Du,J,Keine,0.0,4,2017,GarK,Normal,121975.0
401,WM,Bornhei,Norm,Norm,50,1Fam,1.5V,1957,1960,4,5,EGWA,561.6,Reg,Ebn,San,Inn,15.6,Pfla,Platten,Kein,0.0,AsbeSch,AsbeSch,Giebel,VerbSch,Du,Du,KeinKeller,KeinKeller,KeinKeller,KeinKeller,0.0,KeinKeller,0.0,0.0,0.0,0.0,0.0,82.08,60.48,21.6,0.0,3,Typ,1,0,2,1,Du,0,KeineKamine,GasWO,Gu,N,SLSRo,0.0,0.0,0.0,0.0,0.0,0.0,KeinPool,KeinZaun,KeineGarage,0.0,KeineGarage,0.0,0.0,KeineGarage,KeineGarage,N,Keine,0.0,7,2016,GarK,Normal,68425.0
402,WN,Bornhei,Norm,Norm,30,1Fam,1Sto,1936,1963,4,5,EGWA,524.25,UR1,Ebn,San,Inn,15.6,Pfla,BetonGeg,ZiegGla,9.72,Metall,Metall,Giebel,VerbSch,Du,Gu,Ar,Ty,Mn,NAu,0.0,NAu,0.0,54.0,54.0,0.0,0.0,67.23,67.23,0.0,0.0,5,Typ,1,0,1,1,Du,0,KeineKamine,GasWO,Gu,J,SLSRo,0.0,0.0,2.88,0.0,0.0,0.0,KeinPool,KeinZaun,Abgetr,1963.0,NAu,2.0,47.52,Du,Du,J,Keine,0.0,6,2016,GarK,Normal,67915.0
403,WM,Bornhei,Norm,Norm,50,1Fam,1.5V,1941,1960,6,6,EGWA,561.6,Reg,Ebn,San,Inn,15.6,Pfla,ZiegFli,Kein,0.0,Holz,Holz,Giebel,VerbSch,Du,Du,Ty,Ar,Ke,SQ,38.25,NAu,0.0,41.31,79.56,0.0,0.0,123.03,86.31,36.72,0.0,6,Typ,1,0,3,1,Du,1,Gu,GasWO,Du,J,SichDu,0.0,0.0,0.0,0.0,10.8,0.0,KeinPool,KeinZaun,Abgetr,1988.0,NAu,1.0,50.4,Du,Du,J,Keine,0.0,11,2017,GarK,Normal,108375.0
404,WM,Hochsch,Norm,Norm,120,StHAb,1Sto,2014,2014,6,5,EGWA,399.42,Reg,Ebn,San,Inn,20.684476534296028,Pfla,BetonGeg,ZiegGla,18.45,Vinyl,Vinyl,Giebel,VerbSch,Gu,Du,Gu,Ty,Du,GWR,59.58,NAu,0.0,16.74,76.32,1.0,0.0,76.32,76.32,0.0,0.0,3,Typ,1,0,1,1,Gu,1,Gu,GasWO,Ag,J,SLSRo,13.41,0.0,0.0,0.0,0.0,0.0,KeinPool,KeinZaun,Verbund,2014.0,GAu,2.0,37.8,Du,Du,J,Keine,0.0,1,2018,GarK,Normal,126650.0
405,WN,Höchst,Haup,Norm,20,1Fam,1Sto,1963,1963,5,5,EGWA,682.56,Reg,Ebn,San,Inn,18.9,Pfla,BetonSte,ZiegGla,7.92,Holz,Holz,Walm,VerbSch,Du,Du,Ty,Ty,Ke,SQ,47.79,NAu,0.0,45.45,93.24,0.0,0.0,93.24,93.24,0.0,0.0,5,Typ,1,0,3,1,Du,0,KeineKamine,GasWO,Ag,J,SLSRo,10.8,2.16,0.0,0.0,0.0,0.0,KeinPool,MnPrv,Verbund,1963.0,GAu,1.0,28.08,Du,Du,J,Keine,0.0,6,2018,GarK,Normal,95965.0
406,WN,Westend,Norm,Norm,20,1Fam,1Sto,1994,1995,6,5,EGWA,870.48,Reg,Ebn,San,Eck,24.3,Pfla,BetonGeg,Kein,0.0,Hartfas,Sperrho,Walm,VerbSch,Du,Du,Gu,Ty,Ke,GWR,30.42,NAu,0.0,63.18,93.6,0.0,0.0,98.73,98.73,0.0,0.0,6,Typ,2,0,3,1,Du,0,KeineKamine,GasWO,Du,J,SLSRo,0.0,0.0,0.0,0.0,0.0,0.0,KeinPool,GuPrv,Verbund,1996.0,NAu,2.0,43.2,Du,Du,J,Keine,0.0,5,2020,GarK,Normal,129200.0
407,WN,Sossenh,Norm,Norm,20,1Fam,1Sto,2016,2017,8,5,EGWA,1040.67,UR1,Hng,San,Inn,22.2,Pfla,BetonGeg,Stein,23.22,Vinyl,Vinyl,Walm,VerbSch,Gu,Du,Ag,Ty,Gu,GWR,93.24,NAu,0.0,43.38,136.62,1.0,0.0,138.33,138.33,0.0,0.0,8,Typ,2,0,3,1,Gu,0,KeineKamine,GasWO,Ag,J,SLSRo,0.0,2.34,0.0,0.0,0.0,0.0,KeinPool,KeinZaun,Verbund,2017.0,Aus,3.0,70.92,Du,Du,J,Keine,0.0,4,2018,GarK,Normal,249900.0
408,WN,Dornbus,Norm,Norm,150,StHAb,1.5V,1990,1991,7,5,EGWA,153.0,Reg,Hng,San,Inn,20.684476534296028,Pfla,BetonGeg,Kein,0.0,Vinyl,Vinyl,Giebel,VerbSch,Gu,Du,Gu,Ty,Mn,GWR,35.73,NAu,0.0,2.97,38.7,1.0,0.0,153.0,79.2,61.2,12.6,7,Typ,2,1,2,1,Gu,0,KeineKamine,GasWO,Du,J,SLSRo,16.92,3.24,0.0,0.0,18.0,0.0,KeinPool,KeinZaun,Tiefgar,1990.0,Aus,1.0,40.5,Gu,Du,J,Keine,0.0,4,2016,GarK,Normal,126140.0
409,WN,Hochsch,Norm,Norm,60,1Fam,2Sto,2007,2008,7,5,EGWA,843.75,Reg,Ebn,San,Inn,20.684476534296028,Pfla,BetonGeg,ZiegGla,51.57,Vinyl,Vinyl,Giebel,VerbSch,Du,Du,Gu,Ty,Ke,GWR,66.51,NAu,0.0,28.62,95.13,1.0,0.0,183.06,95.13,87.93,0.0,8,Typ,2,1,3,1,Gu,0,KeineKamine,GasWO,Ag,J,SLSRo,51.84,3.24,0.0,0.0,0.0,0.0,KeinPool,GuPrv,Verbund,2008.0,GAu,2.0,58.05,Du,Du,J,Keine,0.0,2,2019,GarK,Normal,186575.0
410,WN,Dornbus,Norm,Norm,20,1Fam,1Sto,1977,1977,7,6,EGWA,1831.95,Reg,Snk,Mit,Inn,20.684476534296028,Pfla,BetonSte,ZiegGla,11.07,Sperrho,Sperrho,Giebel,KiesTeer,Du,Du,Gu,Ty,Du,DAR,72.9,DWR,74.34,20.61,167.85,1.0,0.0,164.7,164.7,0.0,0.0,6,Typ,1,0,2,1,Du,2,Gu,GasWO,Du,J,SLSRo,0.0,10.35,15.12,0.0,0.0,0.0,KeinPool,KeinZaun,Verbund,1977.0,NAu,2.0,46.89,Du,Du,J,Keine,0.0,6,2016,GarK,Normal,236300.0
411,WM,Eisenba,Haup,Norm,50,1Fam,1.5V,1935,2013,5,7,EGWA,655.92,Reg,Ebn,San,Inn,15.0,Pfla,ZiegFli,Kein,0.0,Vinyl,Vinyl,Giebel,VerbSch,Gu,Gu,Ty,Sc,Ke,NAu,0.0,NAu,0.0,84.24,84.24,0.0,0.0,144.09,84.24,59.85,0.0,6,Typ,2,0,3,1,Du,0,KeineKamine,GasWO,Ag,J,SLSRo,0.0,0.0,0.0,15.84,0.0,0.0,KeinPool,KeinZaun,KeineGarage,0.0,KeineGarage,0.0,0.0,KeineGarage,KeineGarage,N,Keine,0.0,9,2017,GarK,Normal,110372.5
412,WN,Höchst,Norm,Norm,20,1Fam,1Sto,1969,2012,5,6,EGWA,664.92,Reg,Ebn,San,Eck,22.5,Pfla,BetonSte,Kein,0.0,Metall,Metall,Giebel,VerbSch,Du,Du,Ty,Ty,Ke,DAR,36.45,NAu,0.0,59.22,95.67,1.0,0.0,119.43,119.43,0.0,0.0,7,Typ,1,0,3,1,Gu,0,KeineKamine,GasWO,Gu,J,SLSRo,0.0,0.0,0.0,0.0,0.0,0.0,KeinPool,KeinZaun,Abgetr,1984.0,NAu,2.0,56.16,Du,Du,J,Keine,0.0,7,2017,GarK,Normal,128137.5
413,WN,Eckenhe,Zubr,Norm,50,1Fam,1.5V,1948,1960,5,4,EGWA,833.4,UR1,Hng,San,Inn,20.684476534296028,Pfla,ZiegFli,Kein,0.0,Holz,Holz,Giebel,VerbSch,Du,Du,Ty,Ty,Ke,NAu,0.0,NAu,0.0,79.56,79.56,0.0,0.0,123.66,83.88,39.78,0.0,6,Typ,1,0,3,1,Du,0,KeineKamine,GasWO,Du,J,SichAr,5.76,0.0,0.0,0.0,9.0,0.0,KeinPool,KeinZaun,Abgetr,1948.0,NAu,1.0,20.25,Du,Du,J,Keine,0.0,3,2018,GarK,Normal,93500.0
414,WN,Hochsch,Norm,Norm,80,1Fam,GSto,1988,1988,6,6,EGWA,987.3,UR1,Snk,Mit,Inn,20.684476534296028,Pfla,BetonSte,Kein,0.0,Sperrho,Hartfas,Giebel,VerbSch,Du,Du,Gu,Gu,Gu,GWR,45.45,SQ,39.15,0.0,84.6,1.0,0.0,92.34,92.34,0.0,0.0,5,Typ,1,0,3,1,Du,0,KeineKamine,GasWO,Du,J,SLSRo,0.0,0.0,3.06,0.0,0.0,0.0,KeinPool,MnPrv,Abgetr,1991.0,NAu,2.0,51.84,Du,Ar,J,Keine,0.0,10,2018,GarK,Normal,124950.0
415,WN,Nied,Norm,Norm,60,1Fam,2Sto,2015,2015,8,5,EGWA,983.43,Reg,Ebn,San,Inn,22.2,Pfla,BetonGeg,ZiegGla,25.2,Vinyl,Vinyl,Giebel,VerbSch,Gu,Du,Gu,Ty,Du,GWR,49.14,NAu,0.0,46.08,95.22,1.0,0.0,171.36,95.22,76.14,0.0,8,Typ,2,1,3,1,Ag,1,Gu,GasWO,Ag,J,SLSRo,16.11,5.4,0.0,0.0,0.0,0.0,KeinPool,KeinZaun,Eingeb,2013.0,Aus,2.0,66.24,Du,Du,J,Keine,0.0,6,2016,GarK,Normal,233750.0
416,WN,Hochsch,Norm,Norm,20,1Fam,1Sto,2016,2016,6,5,EGWA,838.53,UR1,Ebn,San,Inn,23.4,Pfla,BetonGeg,Kein,0.0,Vinyl,Vinyl,Giebel,VerbSch,Gu,Du,Gu,Ty,Ke,GWR,2.16,NAu,0.0,116.1,118.26,0.0,0.0,118.26,118.26,0.0,0.0,6,Typ,2,0,3,1,Gu,1,Gu,GasWO,Gu,J,SLSRo,0.0,1.98,0.0,0.0,0.0,0.0,KeinPool,KeinZaun,Verbund,2016.0,GAu,2.0,39.6,Du,Du,J,Keine,0.0,3,2017,GarK,Normal,149967.2
417,WM,Eisenba,Haup,Norm,50,1Fam,1.5V,1929,2015,5,7,EGWA,765.0,Reg,Ebn,San,Eck,25.5,Pfla,BetonSte,Kein,0.0,Zement,Zement,Giebel,VerbSch,Du,Du,Ty,Ty,Ke,NAu,0.0,NAu,0.0,71.37,71.37,0.0,0.0,136.53,89.73,46.8,0.0,7,Typ,2,0,3,1,Ar,0,KeineKamine,GasWD,Du,N,SichAr,0.0,0.0,12.96,0.0,0.0,0.0,KeinPool,KeinZaun,KeineGarage,0.0,KeineGarage,0.0,0.0,KeineGarage,KeineGarage,N,Keine,0.0,8,2017,GarK,Normal,97750.0
418,WN,Hochsch,Norm,Norm,60,1Fam,2Sto,2017,2017,7,5,EGWA,896.85,Reg,Ebn,San,Inn,23.1,Pfla,BetonGeg,Stein,19.8,Vinyl,Vinyl,Giebel,VerbSch,Gu,Du,Ag,Ty,Du,GWR,88.56,NAu,0.0,25.2,113.76,1.0,0.0,242.64,115.38,127.26,0.0,10,Typ,2,1,4,1,Ag,1,Gu,GasWO,Ag,J,SLSRo,10.8,16.56,0.0,0.0,15.12,0.0,KeinPool,KeinZaun,Eingeb,2017.0,Aus,3.0,71.28,Du,Du,J,Keine,0.0,10,2017,Neu,Unfertig,326374.5
419,WN,Nordend,Norm,Norm,20,1Fam,1Sto,1976,1976,6,7,EGWA,966.42,UR1,Ebn,San,Eck,26.4,Pfla,BetonSte,Kein,0.0,Hartfas,Hartfas,Walm,VerbSch,Du,Du,Ty,Ty,Ke,DWR,71.28,NAu,0.0,27.09,98.37,1.0,0.0,98.37,98.37,0.0,0.0,6,Typ,2,0,3,1,Du,1,Ar,GasWO,Gu,J,SLSRo,20.16,0.0,0.0,0.0,0.0,0.0,KeinPool,MnPrv,Verbund,1976.0,GAu,2.0,43.56,Du,Du,J,Schu,340.0,11,2017,GarK,Normal,134725.0
420,WN,Höchst,Norm,Norm,20,1Fam,1Sto,1966,1966,4,5,EGWA,936.0,Reg,Ebn,San,Eck,24.0,Pfla,BetonSte,Kein,0.0,Sperrho,Sperrho,Giebel,VerbSch,Du,Du,Ty,Ty,Ke,DAR,13.95,SQ,67.5,26.55,108.0,1.0,0.0,108.0,108.0,0.0,0.0,6,Typ,1,0,3,1,Du,2,Gu,GasWO,Du,J,SLSRo,0.0,17.01,12.6,0.0,0.0,0.0,KeinPool,KeinZaun,Verbund,1966.0,NAu,1.0,26.46,Du,Du,J,Keine,0.0,11,2019,GarK,Familie,122400.0
421,WN,Höchst,Norm,Norm,20,1Fam,1Sto,1966,1966,6,5,EGWA,1170.72,UR1,Ebn,San,Inn,22.2,Pfla,BetonSte,Kein,0.0,Metall,Metall,Giebel,VerbSch,Du,Du,Ar,Ar,Ke,DAR,50.76,NAu,0.0,28.62,79.38,0.0,0.0,79.38,79.38,0.0,0.0,5,Typ,1,0,2,1,Du,0,KeineKamine,GasWO,Du,J,SLSRo,0.0,0.0,0.0,0.0,0.0,0.0,KeinPool,KeinZaun,Verbund,1966.0,NAu,1.0,45.18,Du,Du,J,Keine,0.0,10,2019,GarK,Normal,105825.0
422,WN,Sachsen,Norm,Norm,190,2FamU,GFoy,1973,1973,5,5,EGWA,1011.15,Reg,Ebn,San,Inn,22.5,Pfla,BetonSte,Kein,0.0,Hartfas,Hartfas,Giebel,VerbSch,Du,Du,Gu,Ty,Du,DWR,83.25,NAu,0.0,0.0,83.25,1.0,0.0,89.91,89.91,0.0,0.0,6,Typ,1,0,3,1,Du,0,KeineKamine,GasWO,Du,J,SLSRo,3.6,15.84,0.0,0.0,0.0,0.0,KeinPool,MnPrv,Abgetr,1973.0,NAu,1.0,27.72,Du,Du,J,Keine,0.0,3,2017,GarK,Normal,110500.0
